,val_loss,val_classes_loss,val_coords_loss,loss,classes_loss,coords_loss,lr
0,3042.254150390625,0.48057904839515686,2204.09814453125,2436.1706486053768,0.5988260507583618,2435.58935546875,9.999999747378752e-05
1,1682.9676513671875,0.38806766271591187,2202.4091796875,2428.478720485324,0.5018658638000488,2428.011962890625,9.999999747378752e-05
2,1773.0084228515625,0.34114524722099304,2209.802978515625,2447.4945035924557,0.45299819111824036,2447.040283203125,9.999999747378752e-05
3,1842.6728515625,0.30605578422546387,2211.223876953125,2436.1521836486036,0.41923466324806213,2435.754150390625,9.999999747378752e-05
4,1771.0843505859375,0.28905385732650757,2195.54638671875,2443.2329531898026,0.3928528428077698,2442.82275390625,9.999999747378752e-05
5,1821.3922119140625,0.2681717574596405,2205.04541015625,2433.530979396149,0.372314453125,2433.17919921875,9.999999747378752e-05
6,2471.76025390625,0.2577650547027588,2208.882080078125,2434.8258914678795,0.3525415062904358,2434.48291015625,9.999999747378752e-05
7,2865.67431640625,0.24680790305137634,2211.980224609375,2441.8589360151914,0.33736222982406616,2441.505615234375,9.999999747378752e-05
8,2080.966552734375,0.22989404201507568,2199.517578125,2429.536446802821,0.32186275720596313,2429.193115234375,9.999999747378752e-05
9,2693.5986328125,0.21957819163799286,2201.7587890625,2438.4550599077243,0.3097662031650543,2438.16455078125,9.999999747378752e-05
10,1782.32373046875,0.21860718727111816,2199.148193359375,2439.5950161454807,0.29748186469078064,2439.282958984375,9.999999747378752e-05
11,1395.117919921875,0.21236158907413483,2211.332275390625,2427.6821393873456,0.2846375107765198,2427.37548828125,9.999999747378752e-05
12,1648.8441162109375,0.20337006449699402,2208.926025390625,2441.2634021450403,0.2776416540145874,2440.99609375,9.999999747378752e-05
13,2693.302978515625,0.21860013902187347,2200.90771484375,2450.1450501398585,0.26746106147766113,2449.865966796875,9.999999747378752e-05
14,2026.9591064453125,0.20631906390190125,2201.320556640625,2427.3525753289955,0.2580811083316803,2427.122314453125,9.999999747378752e-05
15,2207.358642578125,0.20751835405826569,2205.105224609375,2443.515759500858,0.25340861082077026,2443.271728515625,9.999999747378752e-05
16,2773.027099609375,0.1968192160129547,2212.956787109375,2427.3704878183116,0.24518084526062012,2427.136474609375,9.999999747378752e-05
17,2758.332763671875,0.20454071462154388,2188.220947265625,2442.901007850055,0.23791754245758057,2442.671630859375,9.999999747378752e-05
18,2671.557861328125,0.2114049196243286,2198.9990234375,2439.768558648021,0.2318461388349533,2439.5029296875,9.999999747378752e-05
19,1914.08056640625,0.19418062269687653,2204.69482421875,2428.0784570115316,0.22626471519470215,2427.846435546875,9.999999747378752e-05
